collegename,tuitionfees,placement,academic,Accommodation,Faculty,Infrastructure,Placement,SocialLife,likes,dislikes,hostelfees,TransportConnectivity
NITTrichy,180000,"NIT Trichy Placement 2024 has not been released yet, it will be updated here once released. During NIT Trichy Placement 2023, the highest package increased by 32% to INR 52.89 LPA. NIT Trichy average package stood at INR 27.27 LPA for the CSE batch, INR 23 LPA for the ECE batch & INR 19.30 LPA for EEE batch. The highest package was received by CSE, ECE, EEE & ICE branches. Recruiters like Google, Honeywell, HP, HDFC Bank, Microsoft, Morgan Stanley, Facebook etc participated in NIT Trichy Placements 2023.",4.1,3.8,4,4.3,4.3,4.4,"NIT Trichy offers excellent placements, a beautiful campus, and diverse extracurricular opportunities. The campus is safe, especially for girls, with strict rules and 24/7 facilities like power supply and computer labs.","NIT Trichy has a diverse student body with a significant number of Tamil speakers and a 50% home state quota. The campus is large and located 20 km from the city, but faces issues like strict attendance policies, curfews, and occasional resource shortages. Some students report feeling uncomfortable due to language barriers and perceived discrimination.","For Male:[Hostel Establishement Fee] is ₹8850, [Hostel Rent,electricity,water charges, service  charges] is ₹14650, [mess advance] is ₹22500. Total Fee for hostel is ₹46000.For Female:[Hostel Establishement Fee] is ₹8850, [Hostel Rent,electricity,water charges, service  charges] is ₹14650, [mess advance] is ₹22500. Total Fee for hostel is ₹46000.","Railway: (TOM)Tondamanpatti,3.51 KmsAirport: Tiruchirappalli International Airport (3.6 miles / 5.8 kilometers)"
NITSurathkal,163700,"NIT Surathkal Placements have been concluded. As per the recent data available, Myntra offered INR 30 LPA to a BTech CSE Student. Some of the top recruiters of NIT Surathkal Placements 2024 were Microsoft, Amazon, Adobe, Goldman Sachs, American Express etc.In the previous year, NIT Surathkal Placements 2023 recorded 92.99% placements for the B.Tech batch. A total of 796 B.Tech students got placed out of 856 eligible students. NIT Surathkal highest package increased by 21.6% to INR 54.75 LPA. NIT Surathkal average package stood at INR 18.26 LPA for B.Tech, INR 12.64 LPA for M.Tech & INR 16.76 LPA for MCA.",4.2,3.8,4.1,4.3,4.3,4.4,"NITK Surathkal offers free healthcare and reimbursement facilities, extensive exposure to technical projects, and a beautiful campus with access to a beach and night canteens. The campus life is vibrant with numerous events, festivals, and extracurricular activities. The alumni network is strong, and there are ample opportunities for higher studies. The faculty is supportive, and students can explore various subjects in their first year.","NITK Surathkal faces challenges with mess food quality, language barriers, and humid weather. The campus has wildlife like dogs and snakes, and the hostels are considered poor. Some students feel the professors are uninterested in teaching.","For Male:[Hostel Establishement Fee] is ₹8100, [Hostel Rent,electricity,water charges, service  charges] is ₹13310, [mess advance] is ₹22000. Total Fee for hostel is ₹35310.For Female:[Hostel Establishement Fee] is ₹8100, [Hostel Rent,electricity,water charges, service  charges] is ₹13310, [mess advance] is ₹22000. Total Fee for hostel is ₹35310.","Railway:(SL)SURATHKAL ,3.11 KmsAirport: Mangalore airport, 20kms"
NITWarangal,207000,"NIT Warangal Placements 2024 final report is yet to be disclosed on the official website. As per media report, the highest package stood at INR 88 LPA which was offered to B.Tech CSE batch by Thought Spot whereas the average package stood at INR 15.6 LPA. During NIT Warangal Placements 2024, a total of 1,128 job offers were received by 1,483 eligible students. During B.Tech Placement 2024, the placement rate was 82%. Further, the overall placement recorded was 76%.  A total of 250 private companies and 10 public sector companies visited the campus. As per the NIRF Report 2024, NIT Warangal median package offered to B.Tech & M.tech students stands at INR 15 LPA & INR 10 LPA respectively. Earlier in the 2023 placement drive, the highest package stood at INR 88 LPA & the average package stood at INR 17.29 LPA. A total of 1400 students were placed in 2023. The placement percentage was 82%. A total of 268 recruiters participated in NIT Warangal Placements 2023. Amazon, Microsoft and L&T are among the top recruiters of NIT Warangal Placement 2023. ",4.1,3.8,4.0,4.1,4.2,4.2,"NIT Warangal boasts excellent placement opportunities, a vibrant campus life, and a pleasant atmosphere. Students appreciate the balance between academics and extracurricular activities, as well as the highly qualified faculty. The college environment, including facilities like the gym and library, is well-loved by students.","NIT Warangal has some challenges, including inconvenient dispensary timings, muddy conditions during rain, and lack of basic equipment like projectors in classrooms. Hostels are not up to par, and seniors are less interactive with juniors. Despite these issues, the college offers a well-rounded education with numerous cultural and extracurricular events, fostering both academic and personal development.","For Male:Triple Occupancy (Btech 2nd year) – Rs 9900,Triple Occupancy (BTech 2nd year DASA) – Rs 11000,Double Occupancy (BTech 3rd year) – Rs 11050,Single Occupancy (BTech 3rd year DASA) – Rs 22000,Single Occupancy (BTech 4th year) – Rs 12800,Double Occupancy (BTech 4th year) – Rs 10400,Single Occupancy (BTech 4th year DASA) – Rs 22000.For Female:Double Occupancy (Btech 2nd year) – Rs 11700,Triple Occupancy (BTech 2nd year) – Rs 9900,Double Occupancy (Btech 2nd year DASA) – Rs 13000,Double Occupancy (BTech 3rd year) – Rs 11050,Double Occupancy (BTech 3rd year DASA) – Rs 13000,Double Occupancy (BTech 4th year) – Rs 10400,Double Occupancy (BTech 4th year DASA) – Rs 13000","Railway:(SL)SURATHKAL ,3.11 KmsAirport: Mangalore airport, 20kms"
MNITAllahabad,168000,"MNNIT Allahabad Placements 2024 have been concluded with the placement of several BTech and MTech students. There were approximately 75+ companies at the MNNIT Allahabad Placement Session including Airtel, Deloitte, Make My Trip, oracle, etc.Dureing the MNNIT Allahabad Placements in the previous year, highest package stood at INR 1.35 CPA whereas MNNIT Allahabad average package stood at INR 20.31 LPA for the B.Tech batch, INR 12.01 LPA for the M.Tech batch, INR 14.28 LPA for the MCA batch, INR 8.37 LPA for the MBA batch & INR 9.97 LPA for the M.Sc batch. Recruiters like Adobe, Country Delight, D.E. Shaw, Cognizant, Ericsson, Maruti Suzuki, etc participated in MNNIT Allahabad Placements.",4.3,3.9,4.2,4.4,4.4,4.4,"MNNIT Allahabad has a well-structured curriculum aligned with industry standards, offering both theoretical and practical knowledge. The college boasts excellent placements, vibrant fests, and a strong coding culture. Faculty are highly qualified, and the student mentorship program, along with a strict anti-ragging policy, provides a supportive environment.","MNNIT Allahabad faces challenges such as inadequate funding for extracurricular activities, a strong focus on placements over other career paths, and strict faculty in certain branches. The infrastructure, including the library, canteens, and gym, is considered small, and the girls-to-boys ratio is low. Some professors' teaching methods need improvement to be more inclusive.","25000(mess) + 12000(hostel) per semester","railway: (PRG)PRAYAG, 2.63 Kmsairport: Allahabad Airport (6.8 miles / 11.0 kilometers)"
NITCalicut,318786,"NIT Calicut Placement 2024 is ongoing. According to the NIRF 2024 reports, the median package of B.Tech and M.Tech at NIT Calicut is INR 11.70 LPA and INR 11.20 LPA respectively. The median salary for NIT Calicut MBA is INR 8.03 LPA. For B.Arch, the median package offered during 2023 placements was INR 5.30 LPA and for M.Plan, the median package stood at INR 8 LPA. During the last year, the highest package of NIT Calicut stood at INR 50 LPA and the average package closed at INR 13.77 LPA. A total of 84.76% students got placed during NIT Calicut placements 2023. 197 companies participated in the placement drive and a total of 1144 students got job opportunities. ",4,3.8,3.9,4.1,3.9,4.1,"NIT Calicut offers a well-rounded experience with good placement opportunities and impressive facilities, including wheelchair access and excellent hostel food. The campus is beautiful, and the architecture department is highly praised for its buildings and large studios. Students enjoy various extracurricular activities, fun festivals, and strong faculty support, making campus life vibrant and diverse.","The architecture department is far from the hostels, making it difficult to carry materials, and lacks a lift. The course is demanding with regular juries, and some students found adapting to the new environment challenging. Additionally, there are issues with bus transport timings, poor Wi-Fi in some hostels, inconsistent food quality, and occasional rude behavior.","Hostel Charges:24,120, Mess Advance per Year:40,000, Total: 64,120.OO","NIT Calicut:railway: Kozhikode 22kmsairport: Calicut (CCJ) Airport 20.3km"
NITRourkela,248000,"NIT Rourkela Placement 2024 report has not been released yet, it will be updated here once released. NIT Rourkela Placements 2023 concluded with 1326 job offers. More than 95% of the participating batch got placed. NIT Rourkela highest package stood at INR 83.60 LPA whereas NIT Rourkela average package closed at INR 13.89 LPA. 24 students received packages of more than INR 50 LPA. Electrical Engineering, Electronics & Instrumentation Engineering, and Ceramic Engineering branches recorded 100% placements. 330 recruiters participated in the placement drive. Some of the prominent recruiters of NIT Rourkela include Apple, Google, VISA etc. ",4,3.8,3.9,4.3,4.1,4.4,"NIT Rourkela offers a vibrant club culture, commendable placements with early training, and national recognition. The campus is green and expansive, with excellent infrastructure, research facilities, and supportive professors. Students benefit from effective teaching methods and a well-maintained environment.","NIT Rourkela has some drawbacks, including strict attendance requirements, small hostel rooms, and ongoing campus construction. The campus is far from the city center, making it inconvenient for social activities, and the internet speed in hostels is slow. Additionally, some professors are strict, and the academic workload can be challenging.","For Male: Single seated – Rs 5000, Double seated – Rs 4000, Hostel establishment fee (per annum) – Rs 5000.For Female: Single seated – Rs 5000, Double seated – Rs 4000,Hostel establishment fee (per annum) – Rs 5000","NIT Rourkela:railway: (BNDM)BONDAMUNDA, 3.15 Kmsairport: Ranchi, 250kms"
NITDelhi,161600,"NIT Delhi Placements 2023 data has not been released yet. However, in NIT Delhi Placements 2021, students received 151 placement offers with 88.8% placements recorded. NIT Delhi highest package stood at INR 46 LPA while NIT Delhi average package stood at INR 10.054 LPA.A total of 73 recruiters participated in NIT Delhi Placements 2021. Some of the top recruiters included Adobe, Amadeus, Avalara, Code Nation etc.",3.8,3.5,3.8,3.7,4,3.5,"NIT Delhi offers excellent placement opportunities, strong sports facilities, and a supportive environment with zero ragging. The campus is well-equipped with amenities like playgrounds, gyms, and labs with i7 systems. Students have ample opportunities to engage in extracurricular activities and pursue their passions.","NIT Delhi faces several challenges, including a small campus with inadequate library and auditorium facilities, and poor hostel and mess services. The college is under construction, which affects its appearance, and the first-year hostel is far from the main campus. Additionally, there are limited and inactive clubs, and cultural fests need improvement.","AC Room : 28000, Non AC room : 18000","NIT Delhi:railway: Narela 4kmairport: Indira Gandhi International Airport (8.8 miles / 14.1 kilometers)"
VNITNagpur,150950,"The VNIT Nagpur Placements report for the 2024-2025 academic year has been partially released. In 2025, the highest package for B.Tech graduates at VNIT Nagpur reached INR 34.10 LPA, while the average package was INR 10.68 LPA, and the lowest package amounted to INR 4.80 LPA. In total 588 Offers were made and around 567 students were placed in 2025 (updated till 11-03-2025). Some of the recruiters at VNIT Nagpur Placements are Morgan Stanley, Qualcomm India Pvt Ltd, Tata Motors, ABB, Hyundai Mobis, L & T Group, Amazon, Citicorp Finance India Ltd., JP Morgan, Bajaj Auto, John Deere, and many more.“As per student reviews, VNIT Nagpur has good placements, especially for CSE (100%), Electrical (80%), and other branches (60–70%). The average package is INR 5-6 LPA, with Amazon, D.E. Shaw, Bajaj, and Exon Mobil offering high packages. Internships are common, CSE students get the most offers, while mining engineering directly gets college support. With John Deere, ITC, and PWC among the top recruiters, INR10,000 to INR 50,000 per month.”",4.1,3.9,4.2,4.5,3.9,4.3,"VNIT Nagpur offers excellent sports facilities, well-maintained infrastructure with fully AC classrooms, and good connectivity by road, railway, and airport. The faculty is highly qualified and helpful, and the campus provides a supportive environment with decent hostel and mess facilities. Students enjoy a vibrant campus life with plenty of events throughout the year.","VNIT Nagpur has some drawbacks, including a strict 75% attendance requirement and outdated sports facilities. The canteens offer limited food options, and the first-year boys' hostel has an 8 pm curfew with fines for late entry. Some professors are not effective, and the academic schedule is hectic with outdated courses and equipment. Additionally, placements are not satisfactory, and there is a lack of time for first-year students due to afternoon classes.","For male: Room Rent – Rs 7000 (Winter 2023 and Summer 2024), Recreation, Breakages, etc – Rs 500 (Winter 2023), Depreciation Fund (One-time) – Rs 1500 (Winter 2023), Allied Services – Rs 8250 (Winter 2023 and Summer 2024), Total – Rs 17250 (Winter 2023), Rs 15250 (Summer 2024).For Female: Room Rent – Rs 7000 (Winter 2023 and Summer 2024), Recreation, Breakages, etc – Rs 500 (Winter 2023), Depreciation Fund (One-time) – Rs 1500 (Winter 2023), Allied Services – Rs 8250 (Winter 2023 and Summer 2024), Total – Rs 17250 (Winter 2023), Rs 15250 (Summer 2024)","VNIT Nagpur:railway: (AJNI)AJNI, 1.11 Kmsairport: Dr. Babasaheb Ambedkar International Airport. 8kms"
MNITJaipur,179265,"MNIT Jaipur Placements 2024 have been concluded. As per the data available there were a total of 29 companies. The highest salary offered at MNIT Jaipur Placements 2024 was INR 64 LPA. DE Shaw was the top recruiter at the MNIT Jaipur Placements. Some of the other top recruiting comapnies were Accenture, JP morgan, Meesho, etc. As per the previous year trends, MNIT Jaipur Placement rate was 81.51% for the UG students and 66.10% for its PG students. had for the academic year 2023 is yet to commence. According to NIRF, a total of 839 students were placed in different companies during the MNIT Jaipur Placements. The highest salary during the MNIT Jaipur Placements 2023 was also INR 64 LPA and the overall average CTC offered was INR 13.10 LPA. 250+ companies participated in the placement drive to make job offers in MNIT Jaipur Placements.  Recruiters like Adverb, Adobe, Airtel, Amazon, Analytics Quotient (Kantar), Apple, Arcesium, Bajaj Motors, BEL, BHEL, Box 8, BPCL, Capgemini, CommVault, Dassault Systems, Deloitte, etc participated in the MNIT placement drive.",4.2,4.2,4,4.4,4,4.2,"MNIT Jaipur offers a vibrant campus life with active clubs and societies, a well-stocked library, and excellent sports facilities. The chemical engineering curriculum is manageable, allowing time for extracurricular activities, and the college hosts Rajasthan's largest cultural fest, Blitzchlag, and technical fest, Sphinx. The campus is green and spacious, with supportive faculty and good infrastructure, including affordable and spacious hostel rooms.","MNIT Jaipur faces several challenges, including faculty not meeting expectations and lack of funding for clubs. The hostel maintenance and hygiene are poor, and the campus could benefit from more greenery. Additionally, infrastructure in the hospital is inadequate, exams and theory subjects can be difficult, and the departments are old in construction.","MNIT Jaipur Hostel For MaleFee: ₹27,000Mess advance per semester & adjusted in the mess bill at actual at the time of leaving hostel:-New admission:-Odd semester (July to December) – Rs 20000Even semester (January to June) – Rs 20000Hostel caution money for new entrants to be deposited only at the first time of allotment of hostel – Rs 12000 (Refundable at the time of leaving the hostel)Hostel and mess admission fee – Rs 3000 (one time not refundable) Room rent, Light and Water Charges per semester – Rs 12000 Grand total – Rs 47000 (for odd semester)Grand total – Rs 32000 (for even semester)MNIT Jaipur Hostel For FemaleFee: ₹27,000Mess advance per semester & adjusted in the mess bill at actual at the time of leaving hostel:-New admission:-Odd semester (July to December) – Rs 20000Even semester (January to June) – Rs 20000Hostel caution money for new entrants to be deposited only at the first time of allotment of hostel – Rs 12000 (Refundable at the time of leaving the hostel)Hostel and mess admission fee – Rs 3000 (one time not refundable) Room rent, Light and Water Charges per semester – Rs 12000 Grand total – Rs 47000 (for odd semester)Grand total – Rs 32000 (for even semester)","MNIT Jaipur:railway: Gandhinagar Jaipur, 2kmsairport: Jaipur (JAI) Airport, 10.2kms"
NITSurat,169000,"SVNIT Surat Placements 2022 is concluded with 850 placements. A total of 1204 students registered in the placement drive. SVNIT Surat highest package stood at INR 49.96 LPA which increased from INR 40.51 LPA in 2021. Recruiters like Adobe, Amazon, Samsung, Deloitte, JP Morgan, Infosys etc participated in SVNIT Surat Placements 2022. ",3.9,3.9,3.9,4.1,3.9,4.2,"NIT Surat boasts an impressive alumni network, supportive professors, and strong exposure due to its national recognition. The college encourages student involvement in fests, activities, and inter-college competitions, while maintaining a green campus with good security and hospitality. Students benefit from helpful seniors, a well-stocked library, and excellent sports facilities.","NIT Surat faces several issues, including inadequate lab equipment and poor dispensary facilities. There is also a lot of politics in college clubs, occasional power and internet issues, and ineffective teaching styles. Additionally, parking facilities are insufficient, placements for MSc degrees are lower compared to BTech, and there are limited scholarships for integrated courses.","NIT Surat:NIT Surat Hostel For MaleHOSTEL FEE STRUCTURE:-Single Seated B.Tech./M.Sc – Rs 41000.00, Double Seated B. Tech./M.Sc. – Rs 37200.00, Single Seated Ph.D. – Rs 42500.00, Double Seated Ph.D. – Rs 38700.00.NIT Surat Hostel For FemaleHOSTEL FEE STRUCTURE:-Single Seated B.Tech./M.Sc – Rs 41000.00, Double Seated B. Tech./M.Sc. – Rs 37200.00, Single Seated Ph.D. – Rs 42500.00, Double Seated Ph.D. – Rs 38700.00","NIT Surat:railway: (ST)SURAT, 2.46 Kmsairport: Surat (STV) Airport, 12.5kms"
