,Institute,Academic Program Name,Quota,Seat Type,Gender,Opening Rank(2020),Closing Rank(2020),Opening Rank(2021),Closing Rank(2021),Opening Rank(2022),Closing Rank(2022),Opening Rank(2023),Closing Rank(2023),Opening Rank(2024),Closing Rank(2024),opening Rank(2025),closing Rank
0,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Bio Technology (4 Years, Bachelor of Technology)",HS,OPEN,Gender-Neutral,42145,52696,37494,57572,54131,67053,38945,54305,52325,60889,47998,61098
1,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Bio Technology (4 Years, Bachelor of Technology)",HS,OPEN,Female-only (including Supernumerary),34639,50401,49697,53440,45890,70992,60407,61095,51867,51867,50398,51478
2,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Bio Technology (4 Years, Bachelor of Technology)",HS,EWS,Gender-Neutral,11277,11559,10732,13606,10370,13354,12027,14619,11998,12956,12000,12621
3,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Bio Technology (4 Years, Bachelor of Technology)",HS,OBC-NCL,Gender-Neutral,35394,59356,37236,62238,29569,49056,45711,53248,32143,58125,34692,58253
4,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Bio Technology (4 Years, Bachelor of Technology)",HS,OBC-NCL,Female-only (including Supernumerary),23213,23213,64649,84586,58940,77648,36568,45325,41323,41323,42594,40321
5,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Bio Technology (4 Years, Bachelor of Technology)",HS,SC,Gender-Neutral,6445,9894,5327,12289,5054,10500,8650,9930,10304,12025,10279,12456
6,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Bio Technology (4 Years, Bachelor of Technology)",HS,SC,Female-only (including Supernumerary),12175,12175,11441,11441,12060,12060,10628,10628,12329,12329,11960,11960
7,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Bio Technology (4 Years, Bachelor of Technology)",OS,OPEN,Gender-Neutral,15737,32815,25373,35798,35026,39976,22583,35791,28618,41055,29111,41398
8,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Bio Technology (4 Years, Bachelor of Technology)",OS,OPEN,Female-only (including Supernumerary),35882,36250,29677,37856,40640,43113,37004,39010,35609,42026,35932,42098
9,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Bio Technology (4 Years, Bachelor of Technology)",OS,EWS,Gender-Neutral,5709,5910,5690,5770,5886,5915,5762,5911,7127,7166,7042,7062
